Date,Price,Open,High,Low,Volume,Chg%
03-04-2022,170.09,174.57,178.49,169.2,393.18M,-0.0242
27-03-2022,174.31,172.17,179.61,171.94,465.40M,-0.0023
20-03-2022,174.72,163.51,175.28,163.01,446.08M,0.0655
13-03-2022,163.98,151.45,164.48,150.1,503.12M,0.0598
06-03-2022,154.73,163.36,165.02,154.5,521.33M,-0.0517
27-02-2022,163.17,163.06,168.91,161.97,418.75M,-0.0102
20-02-2022,164.85,164.98,166.69,152,414.29M,-0.0146
13-02-2022,167.3,167.37,173.34,166.19,364.01M,-0.0079
06-02-2022,168.64,172.86,176.65,168.04,412.90M,-0.0218
30-01-2022,172.39,170.16,176.24,169.51,458.55M,0.0121
23-01-2022,170.33,160.02,170.35,154.7,688.67M,0.0488
16-01-2022,162.41,171.51,172.54,162.3,400.25M,-0.0616
09-01-2022,173.07,169.08,177.18,168.17,422.66M,0.0052
02-01-2022,172.17,177.83,182.94,171.03,482.16M,-0.0304
26-12-2021,177.57,177.09,181.33,177.07,340.25M,0.0073
19-12-2021,176.28,168.28,176.85,167.46,359.18M,0.03
12-12-2021,171.14,181.12,182.13,169.69,769.79M,-0.0463
05-12-2021,179.45,164.29,179.63,164.28,569.23M,0.1088
28-11-2021,161.84,159.37,170.3,157.8,669.98M,0.0321
21-11-2021,156.81,161.68,165.7,156.36,359.93M,-0.0233
14-11-2021,160.55,150.37,161.02,149.34,462.42M,0.0704
07-11-2021,149.99,151.41,151.57,147.48,281.80M,-0.0085
31-10-2021,151.28,148.99,152.43,147.8,324.08M,0.0099
24-10-2021,149.8,148.68,153.16,146.41,392.74M,0.0075
17-10-2021,148.69,143.45,150.18,143.16,340.69M,0.0266
10-10-2021,144.84,142.27,144.9,139.2,354.10M,0.0136
03-10-2021,142.9,141.76,144.21,138.27,382.91M,0.0018
26-09-2021,142.65,145.47,145.96,139.11,441.42M,-0.0291
19-09-2021,146.92,143.8,147.47,141.27,394.03M,0.0059
12-09-2021,146.06,150.63,151.42,145.76,492.88M,-0.0195
05-09-2021,148.97,154.97,157.26,148.7,354.90M,-0.0345
29-08-2021,154.3,149,154.98,148.61,386.76M,0.0384
22-08-2021,148.6,148.31,150.86,146.83,272.13M,0.0028
15-08-2021,148.19,148.54,151.68,144.5,429.62M,-0.0061
08-08-2021,149.1,146.2,149.44,145.3,299.58M,0.0203
