Date,Price,Open,High,Low,Volume,Chg%
03-04-2022,47.39,48.94,49.84,46.75,23.37M,-0.0289
27-03-2022,48.8,54.25,55.3,47.61,23.68M,-0.1093
20-03-2022,54.79,51.75,54.88,51.68,16.04M,0.0571
13-03-2022,51.83,51.86,52.56,49.52,21.56M,-0.0035
06-03-2022,52.01,51.42,52.73,48.98,21.34M,0.001
27-02-2022,51.96,50.81,53.95,49.6,25.27M,0.0097
20-02-2022,51.46,58.35,59.03,49.16,28.02M,-0.1263
13-02-2022,58.9,59.2,60.53,58.23,15.22M,-0.0103
06-02-2022,59.51,59.08,61.54,58.62,14.54M,0.0131
30-01-2022,58.74,56.22,60.1,55.94,15.37M,0.0445
23-01-2022,56.24,54.78,57.6,53.43,21.35M,0.0121
16-01-2022,55.57,60.28,60.81,55.26,16.12M,-0.0819
09-01-2022,60.53,59.17,60.77,58.61,30.85M,0.0438
02-01-2022,57.99,56.16,59.5,56.15,21.97M,0.0324
26-12-2021,56.17,56.05,57.8,56.05,9.41M,0.0052
19-12-2021,55.88,54.01,56.24,53.08,13.94M,0.0225
12-12-2021,54.65,57.15,57.49,54.06,20.08M,-0.0512
05-12-2021,57.6,58.75,59.49,57.11,20.35M,-0.015
28-11-2021,58.48,57.05,58.64,55.5,36.19M,0.0409
21-11-2021,56.18,55.33,58,54.2,27.76M,0.0211
14-11-2021,55.02,56.47,57.54,54.97,25.85M,-0.0175
07-11-2021,56,56.37,57.18,55.01,21.28M,-0.0064
31-10-2021,56.36,55.4,57.34,53.01,45.13M,-0.4876
24-10-2021,109.99,114.8,115,107.92,21.19M,-0.0397
17-10-2021,114.54,108.45,114.77,108.2,16.45M,0.0634
10-10-2021,107.71,105.12,107.97,102.95,9.60M,0.0252
03-10-2021,105.06,106.05,107.9,103.94,10.09M,-0.0068
26-09-2021,105.78,103.43,106.25,102.71,11.05M,0.0183
19-09-2021,103.88,98.85,105.23,97.93,18.96M,0.0333
12-09-2021,100.53,98.39,102.14,97.17,19.08M,0.0555
05-09-2021,95.24,96.8,97.2,94.17,8.47M,-0.0196
29-08-2021,97.14,97.56,99.06,96.4,11.89M,0.002
22-08-2021,96.95,98.96,102.68,95.01,13.36M,-0.0157
15-08-2021,98.5,99.52,99.86,95.51,5.59M,-0.0153
08-08-2021,100.03,97.86,100.83,97.61,5.51M,0.0151
01-08-2021,98.54,97.08,98.82,95.99,5.27M,0.0199
25-07-2021,96.62,96.72,97.27,94.95,4.31M,0.0007
18-07-2021,96.55,90.83,96.7,90.58,8.82M,0.0462
11-07-2021,92.29,100.11,100.11,92.22,12.83M,-0.0794
04-07-2021,100.25,99.31,100.86,97.64,7.76M,0.0089
27-06-2021,99.37,99.5,102.3,97.9,15.98M,-0.0013
20-06-2021,99.5,99.24,100.16,98.6,12.59M,0.0094
13-06-2021,98.57,104,104.22,97.34,9.96M,-0.052
06-06-2021,103.98,104.18,104.62,101.81,7.43M,0.0043
30-05-2021,103.53,99.59,103.57,99.28,11.37M,0.0496
23-05-2021,98.64,99.31,100.94,95.24,12.21M,0.0017
16-05-2021,98.47,98,99.7,95.4,6.24M,0.0004
09-05-2021,98.43,101.05,101.25,93.97,10.15M,-0.026
02-05-2021,101.06,99.2,101.7,95.86,10.66M,0.0278
25-04-2021,98.33,101.45,101.73,98.15,8.09M,-0.0304
18-04-2021,101.41,101.4,103.8,100.11,13.46M,-0.0001
11-04-2021,101.42,92.75,102.17,92.38,25.76M,0.0803
04-04-2021,93.88,89.24,94.01,88.95,13.47M,0.0539
28-03-2021,89.08,88.67,89.63,87.61,7.98M,0.001
21-03-2021,88.99,87.43,89,84.81,12.92M,0.0155
14-03-2021,87.63,88.74,91.51,87.55,16.06M,-0.0134
07-03-2021,88.82,85.92,89.47,84.94,13.14M,0.0407
28-02-2021,85.35,81.08,85.69,81.08,13.06M,0.0528
21-02-2021,81.07,80.67,83.19,77.03,13.84M,0.0037
14-02-2021,80.77,80.77,81.32,78.17,8.14M,0.009
07-02-2021,80.05,80,80.71,77.85,17.49M,0.0055
31-01-2021,79.61,73.65,80.08,72.7,10.39M,0.0922
24-01-2021,72.89,76.34,76.49,72.37,10.03M,-0.0402
17-01-2021,75.94,74.57,77.72,74.3,9.57M,0.0226
10-01-2021,74.26,76.27,76.84,70.18,18.23M,-0.0383
03-01-2021,77.22,73.89,77.41,71.5,13.17M,0.0536
27-12-2020,73.29,73.55,73.75,71.35,12.99M,0.0041
20-12-2020,72.99,72.32,73.89,71.03,6.37M,0.001
13-12-2020,72.92,72,75.39,71.92,12.68M,0.0179
06-12-2020,71.64,72.23,72.97,69.96,11.30M,-0.0064
29-11-2020,72.1,70.24,72.28,68.01,13.04M,0.0327
22-11-2020,69.82,68.6,70.5,67.25,10.27M,0.0217
15-11-2020,68.34,66.53,69.19,65.61,7.47M,0.0337
08-11-2020,66.11,65.93,66.19,63.27,6.98M,0.0235
01-11-2020,64.59,61.19,64.88,60.06,5.96M,0.0719
25-10-2020,60.26,67.35,67.48,58.88,8.29M,-0.1162
18-10-2020,68.18,70.4,70.91,67.78,6.05M,-0.0281
11-10-2020,70.15,68.65,71.45,68.5,6.26M,0.0257
04-10-2020,68.39,67.89,69.44,67.07,10.23M,0.0183
27-09-2020,67.16,66.81,68.88,65.72,7.07M,0.0219
20-09-2020,65.72,64.77,67.34,63.72,8.23M,-0.0098
13-09-2020,66.37,67,68.56,65.49,19.15M,-0.0003
06-09-2020,66.39,63.05,67.38,62.71,9.94M,0.0269
30-08-2020,64.65,65.57,68.61,63.13,11.97M,-0.0236
23-08-2020,66.21,61.9,67.62,60.45,17.57M,0.0951
16-08-2020,60.46,60.2,60.69,59.31,6.77M,0.0092
09-08-2020,59.91,61.17,63.19,59.5,8.44M,-0.0146
02-08-2020,60.8,59.91,61.24,59.37,7.47M,0.0162
26-07-2020,59.83,60.85,61.34,58.11,8.47M,-0.016
19-07-2020,60.8,60.3,62.89,60.18,12.19M,0.0071
12-07-2020,60.37,53.5,61.63,51.08,36.42M,0.1299
05-07-2020,53.43,54.5,54.67,52.88,8.14M,-0.006
28-06-2020,53.75,52.67,55.74,51.82,11.66M,0.0287
21-06-2020,52.25,48.61,54.9,47.84,31.80M,0.0681
14-06-2020,48.92,45.8,49.52,45.62,11.23M,0.0431
