Date,Open,High,Low,Close,Adj Close,Volume
02-01-2020,26.386213,26.670046,26.127724,26.502789,26.502789,4278253
03-01-2020,26.051699,26.345667,25.554993,25.63102,25.63102,4447142
06-01-2020,25.387733,25.995945,25.387733,25.889507,25.889507,4983403
07-01-2020,25.869234,26.006083,25.124176,25.240749,25.240749,6135833
08-01-2020,25.088697,25.362392,24.911303,25.342119,25.342119,6934306
09-01-2020,25.443487,25.473898,24.845413,25.149517,25.149517,7158833
10-01-2020,25.149517,25.311708,25.043081,25.093765,25.093765,4865615
13-01-2020,25.184998,25.337049,24.673086,25.255955,25.255955,6736414
14-01-2020,25.255955,26.117586,25.245819,25.778004,25.778004,6555490
15-01-2020,25.701977,25.919918,25.544855,25.646223,25.646223,3906145
16-01-2020,25.854029,26.218956,25.691839,26.021288,26.021288,4445958
17-01-2020,26.102383,26.102383,25.36746,25.514444,25.514444,6502416
21-01-2020,25.418144,25.428282,24.784592,24.982262,24.982262,5397142
22-01-2020,25.088697,25.402941,25.088697,25.311708,25.311708,2705180
23-01-2020,25.352255,25.580336,25.022808,25.52965,25.52965,2187860
24-01-2020,25.620882,25.869234,25.103903,25.331982,25.331982,3948170
27-01-2020,24.662951,24.779524,24.313229,24.404461,24.404461,6143133
28-01-2020,24.586924,24.936646,24.505829,24.673086,24.673086,4225377
29-01-2020,24.809935,24.936646,24.602129,24.809935,24.809935,2788836
30-01-2020,24.531172,25.073492,24.409529,25.027876,25.027876,4742697
31-01-2020,24.901167,24.961987,24.404461,24.718702,24.718702,4627869
03-02-2020,24.72884,25.038013,24.637608,24.926508,24.926508,3265118
04-02-2020,25.342119,26.092245,25.058287,25.864166,25.864166,5845604
05-02-2020,26.092245,26.553473,25.646223,25.742523,25.742523,7337587
06-02-2020,25.930056,26.827168,25.879372,26.786619,26.786619,6581533
07-02-2020,26.609224,26.609224,25.848961,26.163202,26.163202,9318084
10-02-2020,25.848961,26.441967,25.62595,26.411556,26.411556,5327100
11-02-2020,26.406488,26.91333,26.355803,26.487581,26.487581,8685935
12-02-2020,26.725798,27.126204,26.649773,27.014698,27.014698,6874129
13-02-2020,26.330462,26.776484,26.066902,26.634567,26.634567,6760485
14-02-2020,26.837303,27.141409,26.675114,26.801825,26.801825,4158295
18-02-2020,26.507856,26.837303,26.294983,26.746073,26.746073,5139862
19-02-2020,26.81196,27.161682,26.735935,27.034971,27.034971,5512759
20-02-2020,27.034971,27.065384,26.502789,26.837303,26.837303,5310724
21-02-2020,26.710592,26.766346,25.955399,26.213886,26.213886,4403144
24-02-2020,25.225546,25.27623,24.034466,24.485556,24.485556,7265770
25-02-2020,24.860619,24.936646,23.400911,23.426254,23.426254,6799550
26-02-2020,23.679676,23.993917,22.959959,23.27927,23.27927,6851242
27-02-2020,22.569691,23.081602,21.743538,22.078054,22.078054,11049984
28-02-2020,20.881907,21.849976,19.868221,20.506842,20.506842,16947084
02-03-2020,20.63862,21.535732,19.969589,21.485048,21.485048,7908770
03-03-2020,21.626965,22.154079,20.988342,21.175875,21.175875,9216475
04-03-2020,21.535732,21.986822,20.876837,21.986822,21.986822,6008377
05-03-2020,21.302586,21.571211,20.522049,20.704512,20.704512,7139103
06-03-2020,19.766853,20.719715,19.574251,20.081095,20.081095,8400837
09-03-2020,18.489611,18.651798,17.972631,18.373035,18.373035,10960804
10-03-2020,19.107958,19.959454,17.992905,19.837811,19.837811,9943920
11-03-2020,19.077547,19.538773,18.535227,18.722757,18.722757,9386942
12-03-2020,17.222504,17.698936,16.376078,16.594019,16.594019,13329588
13-03-2020,17.830715,18.220984,16.796757,18.220984,18.220984,9643038
16-03-2020,14.78966,17.389763,14.78966,16.325394,16.325394,10100379
17-03-2020,16.629498,16.958946,15.326913,15.874303,15.874303,9976277
18-03-2020,14.698429,15.281298,12.929549,14.632539,14.632539,9067711
19-03-2020,14.698429,16.578814,14.282818,16.198683,16.198683,8396299
20-03-2020,16.644703,18.697414,16.229094,16.46731,16.46731,13518799
23-03-2020,16.725798,18.109478,15.98074,17.20223,17.20223,7340349
24-03-2020,18.479473,19.695894,17.501266,19.690826,19.690826,7084254
25-03-2020,19.954384,21.490116,19.346172,19.939178,19.939178,7389280
26-03-2020,20.243284,21.743538,20.020273,21.561075,21.561075,6317941
27-03-2020,20.390268,20.775469,19.396858,19.640142,19.640142,6310246
30-03-2020,20.126711,20.866699,19.655348,20.172325,20.172325,6928979
31-03-2020,20,20.780537,19.7111,20.045616,20.045616,3495761
01-04-2020,19.133301,19.695894,18.504814,18.702484,18.702484,4866207
02-04-2020,18.540295,19.285353,18.332489,18.824125,18.824125,3894307
03-04-2020,18.737963,19.09782,18.008108,18.469336,18.469336,4084899
06-04-2020,19.498226,19.837811,19.214394,19.721237,19.721237,6457629
07-04-2020,20.233147,20.669031,19.336037,19.447542,19.447542,7205396
08-04-2020,19.665483,20.623417,19.564116,20.466295,20.466295,6720038
09-04-2020,21.120123,21.667511,20.851496,21.064369,21.064369,8348158
13-04-2020,20.608212,20.942726,20.233147,20.506842,20.506842,3434006
14-04-2020,20.876837,21.464773,20.679169,20.952864,20.952864,5004120
15-04-2020,20.2889,20.709579,20.070957,20.501774,20.501774,4119427
16-04-2020,20.648758,20.876837,20.207806,20.831221,20.831221,3042169
17-04-2020,21.363405,21.424227,20.780537,21.039026,21.039026,6397453
20-04-2020,20.44602,21.165737,20.349722,20.760263,20.760263,4069510
21-04-2020,20.238216,20.349722,18.854536,18.955906,18.955906,7012437
22-04-2020,19.412064,19.868221,19.204256,19.640142,19.640142,7617950
23-04-2020,19.873289,20.162189,19.614799,19.721237,19.721237,2845855
24-04-2020,19.934111,20.263557,19.513432,20.116573,20.116573,3493788
27-04-2020,20.35479,20.582869,20.278763,20.369995,20.369995,3014349
28-04-2020,20.775469,20.963001,20.375063,20.699442,20.699442,5056996
29-04-2020,21.054232,22.133806,20.983274,21.991892,21.991892,6579363
30-04-2020,21.794222,22.012163,21.459705,21.6371,21.6371,3432231
01-05-2020,21.079575,21.28231,20.162189,20.273695,20.273695,3702926
04-05-2020,20.106438,20.562595,19.660416,20.552458,20.552458,2514589
05-05-2020,20.780537,21.115053,20.349722,20.369995,20.369995,2149781
06-05-2020,20.577801,20.846428,20.380133,20.522049,20.522049,2265201
07-05-2020,20.810947,21.201216,20.709579,21.160669,21.160669,2209365
08-05-2020,21.490116,22.199696,21.419159,22.123671,22.123671,4143695
11-05-2020,21.926001,22.18449,21.556005,21.981754,21.981754,3142200
12-05-2020,22.067917,22.194628,21.414089,21.414089,21.414089,4281805
13-05-2020,21.464773,21.64217,20.45109,20.795744,20.795744,4291472
14-05-2020,20.35479,21.236694,19.918905,21.216421,21.216421,3262750
15-05-2020,20.861631,21.419159,20.562595,21.332994,21.332994,3069593
18-05-2020,21.728333,22.493664,21.566143,22.18956,22.18956,3665439
19-05-2020,22.09326,22.777496,22.09326,22.321339,22.321339,4253591
20-05-2020,22.513939,22.787634,22.179422,22.63558,22.63558,4144484
21-05-2020,22.650785,22.82818,22.067917,22.498734,22.498734,3477018
22-05-2020,21.99696,22.199696,21.231627,21.8297,21.8297,5418450
26-05-2020,22.696402,22.858591,22.498734,22.534212,22.534212,3831961
27-05-2020,22.807907,23.096807,22.138874,23.096807,23.096807,5659748
28-05-2020,22.944754,23.411049,22.929548,23.101875,23.101875,8541906
29-05-2020,24.835276,25.342119,24.328434,25.159655,25.159655,23420102
01-06-2020,24.956919,25.240749,24.47035,25.022808,25.022808,7528179
02-06-2020,25.038013,25.159655,24.642675,24.911303,24.911303,5828439
03-06-2020,25.088697,25.119108,24.688292,24.738976,24.738976,5198658
04-06-2020,24.551445,24.956919,24.404461,24.936646,24.936646,5245812
05-06-2020,25.058287,26.026356,25.058287,25.605677,25.605677,8202353
08-06-2020,25.848961,26.376078,25.747593,26.183477,26.183477,7115624
09-06-2020,26.001015,26.001015,25.286366,25.357325,25.357325,4731057
10-06-2020,25.377598,25.458693,24.815002,25.032946,25.032946,2883540
11-06-2020,24.323364,24.455145,23.542828,23.613787,23.613787,6145698
12-06-2020,24.515966,24.673086,23.360365,23.770906,23.770906,3785003
15-06-2020,23.213381,24.029396,23.122149,23.852001,23.852001,4336259
16-06-2020,24.591991,24.683224,23.887482,24.166245,24.166245,3159957
17-06-2020,24.211861,24.642675,24.059807,24.08515,24.08515,4104235
18-06-2020,23.943233,24.095285,23.684744,24.034466,24.034466,4487391
19-06-2020,24.500759,25.098833,24.358845,24.794729,24.794729,6059478
22-06-2020,24.637608,24.967054,24.247339,24.475418,24.475418,3595003
23-06-2020,24.749113,25.098833,24.500759,24.840345,24.840345,10216983
24-06-2020,27.800304,27.825645,26.208818,26.91333,26.91333,31476453
25-06-2020,26.573746,26.629498,25.737455,26.153067,26.153067,7400723
26-06-2020,25.955399,26.822098,25.747593,26.482513,26.482513,10050659
29-06-2020,26.695389,27.328941,26.264572,27.247847,27.247847,7782696
30-06-2020,27.278255,27.992905,27.07552,27.845921,27.845921,6045272
01-07-2020,27.90674,28.165232,27.404966,27.511404,27.511404,5496778
02-07-2020,27.957424,28.251394,27.227571,27.242777,27.242777,3671556
06-07-2020,27.62291,27.709072,27.247847,27.399899,27.399899,3368306
07-07-2020,27.17182,27.344147,26.801825,26.837303,26.837303,3580008
08-07-2020,26.958946,27.445515,26.81196,27.445515,27.445515,4085294
09-07-2020,27.572226,27.572226,26.862646,27.212366,27.212366,2747008
10-07-2020,27.116068,27.212366,26.822098,27.080587,27.080587,2285129
13-07-2020,27.116068,27.212366,26.229094,26.239229,26.239229,4150008
14-07-2020,26.026356,26.639635,25.889507,26.609224,26.609224,2630404
15-07-2020,26.705524,27.060314,26.436897,26.700457,26.700457,3846166
16-07-2020,29.7111,31.236694,29.675621,29.954384,29.954384,50015945
17-07-2020,29.782059,30.734921,29.366447,30.598074,30.598074,11194999
20-07-2020,30.562595,31.348202,30.501774,31.145464,31.145464,6124389
21-07-2020,31.272175,31.677649,30.942726,30.947796,30.947796,5450018
