Date,Price,Open,High,Low,Volume,Chg%
10-04-2022,7.3,6.394,7.346,6.247,836.97K,0.1628
03-04-2022,6.278,5.745,6.538,5.65,661.63K,0.0976
27-03-2022,5.72,5.551,5.832,5.255,313.74K,0.0267
20-03-2022,5.571,4.909,5.577,4.748,356.98K,0.1456
13-03-2022,4.863,4.705,5.001,4.459,335.27K,0.0292
06-03-2022,4.725,5.041,5.184,4.45,466.97K,-0.058
27-02-2022,5.016,4.62,5.045,4.34,498.58K,0.1221
20-02-2022,4.47,4.594,4.94,4.293,93.36K,0.0088
13-02-2022,4.431,4.103,4.793,4.04,536.43K,0.1243
06-02-2022,3.941,4.384,4.468,3.876,643.64K,-0.138
30-01-2022,4.572,4.867,5.572,4.487,809.27K,-0.0144
23-01-2022,4.639,3.915,7.346,3.876,122.05K,0.16
16-01-2022,3.999,4.356,4.39,3.781,340.20K,-0.0617
09-01-2022,4.262,4.144,4.879,3.977,738.36K,0.0884
02-01-2022,3.916,3.702,3.98,3.638,445.85K,0.0499
26-12-2021,3.73,3.958,4.261,3.536,204.04K,-0.0003
19-12-2021,3.731,3.645,4.041,3.599,425.87K,0.0111
12-12-2021,3.69,3.975,4.085,3.617,512.57K,-0.0599
05-12-2021,3.925,3.826,3.965,3.63,627.67K,-0.0501
28-11-2021,4.132,5.199,5.2,4.042,661.74K,-0.2414
21-11-2021,5.447,4.91,5.562,4.648,190.74K,0.0754
14-11-2021,5.065,4.903,5.394,4.713,625.50K,0.0572
07-11-2021,4.791,5.605,5.663,4.725,800.40K,-0.1314
31-10-2021,5.516,5.31,5.876,5.116,738.89K,0.0166
24-10-2021,5.426,5.468,6.291,5.401,427.41K,0.0277
17-10-2021,5.28,5.299,5.379,4.825,642.72K,-0.024
10-10-2021,5.41,5.695,5.964,5.168,956.68K,-0.0279
03-10-2021,5.565,5.628,6.466,5.393,1.11M,-0.0096
26-09-2021,5.619,5.191,6.28,5.176,717.25K,0.0932
19-09-2021,5.14,5.015,5.183,4.735,581.38K,0.0069
12-09-2021,5.105,4.945,5.65,4.879,1.07M,0.0338
05-09-2021,4.938,4.71,5.058,4.557,794.29K,0.048
29-08-2021,4.712,4.499,4.727,4.215,843.47K,0.0783
22-08-2021,4.37,3.862,4.397,3.838,263.64K,0.1348
15-08-2021,3.851,3.846,3.988,3.734,558.68K,-0.0026
08-08-2021,3.861,4.168,4.185,3.846,809.41K,-0.0674
01-08-2021,4.14,3.973,4.205,3.915,652.78K,0.0577
25-07-2021,3.914,4.025,4.187,3.855,380.58K,-0.036
18-07-2021,4.06,3.703,4.071,3.686,530.53K,0.1051
11-07-2021,3.674,3.673,3.769,3.584,576.04K,0
04-07-2021,3.674,3.704,3.822,3.52,541.08K,-0.007
27-06-2021,3.7,3.502,3.814,3.485,660.21K,0.0584
20-06-2021,3.496,3.206,3.511,3.137,344.00K,0.0874
13-06-2021,3.215,3.315,3.369,3.166,633.81K,-0.0246
06-06-2021,3.296,3.109,3.33,3.033,825.19K,0.0643
30-05-2021,3.097,3.036,3.15,3.01,526.95K,0.0372
23-05-2021,2.986,2.85,3.042,2.832,320.02K,0.0275
16-05-2021,2.906,3.019,3.15,2.894,541.81K,-0.0186
09-05-2021,2.961,2.97,3.016,2.881,470.41K,0.001
02-05-2021,2.958,2.938,3.001,2.9,479.98K,0.0092
25-04-2021,2.931,2.71,2.971,2.7,303.52K,0.0736
18-04-2021,2.73,2.707,2.779,2.657,478.42K,0.0187
11-04-2021,2.68,2.53,2.7,2.529,669.80K,0.061
04-04-2021,2.526,2.593,2.616,2.453,684.22K,-0.0428
28-03-2021,2.639,2.563,2.688,2.53,199.42K,0.0321
21-03-2021,2.557,2.507,2.592,2.478,320.26K,0.0087
14-03-2021,2.535,2.558,2.566,2.422,545.15K,-0.025
07-03-2021,2.6,2.691,2.734,2.584,545.35K,-0.0374
28-02-2021,2.701,2.8,2.887,2.681,534.30K,-0.0253
21-02-2021,2.771,3.01,3.03,2.697,349.13K,-0.0971
14-02-2021,3.069,3.046,3.316,2.976,746.28K,0.0539
07-02-2021,2.912,2.909,3.045,2.741,1.11M,0.0171
31-01-2021,2.863,2.73,3.057,2.712,1.10M,0.1166
24-01-2021,2.564,2.542,2.773,2.504,373.73K,0.0482
17-01-2021,2.446,2.652,2.673,2.414,508.90K,-0.1063
10-01-2021,2.737,2.6,2.899,2.589,861.96K,0.0137
03-01-2021,2.7,2.626,2.77,2.566,707.11K,0.0634
27-12-2020,2.539,2.311,2.547,2.238,245.45K,0.0083
20-12-2020,2.518,2.73,2.806,2.515,355.71K,-0.0674
13-12-2020,2.7,2.658,2.724,2.596,685.43K,0.0421
06-12-2020,2.591,2.456,2.63,2.368,992.62K,0.0062
29-11-2020,2.575,2.831,2.996,2.462,838.82K,-0.0943
22-11-2020,2.843,2.705,2.963,2.649,180.17K,0.0728
15-11-2020,2.65,2.871,2.887,2.525,660.69K,-0.1152
08-11-2020,2.995,2.872,3.087,2.821,677.80K,0.037
01-11-2020,2.888,3.374,3.393,2.866,846.93K,-0.1389
25-10-2020,3.354,2.941,3.396,2.907,413.46K,0.1289
18-10-2020,2.971,2.641,3.066,2.638,591.07K,0.0714
11-10-2020,2.773,2.891,2.955,2.61,839.48K,0.0117
04-10-2020,2.741,2.455,2.821,2.446,961.83K,0.1243
27-09-2020,2.438,2.105,2.789,2.02,665.35K,0.1398
20-09-2020,2.139,1.991,2.32,1.795,560.34K,0.0444
