Date,Price,Open,High,Low,Volume,Chg%
03-04-2022,1368.5,1428,1430,1338,66.00K,-0.0386
27-03-2022,1423.5,1412.5,1462.5,1409.5,67.59K,0.006
20-03-2022,1415,1432.5,1443,1409.5,114.72K,-0.0302
13-03-2022,1459,1409,1480.5,1373.5,112.80K,0.0433
06-03-2022,1398.5,1420,1456,1384.5,119.68K,-0.0352
27-02-2022,1449.5,1498,1524.5,1447.5,83.48K,-0.0407
20-02-2022,1511,1556,1559.5,1448,123.09K,-0.0195
13-02-2022,1541,1533.5,1579,1514.5,79.04K,-0.015
06-02-2022,1564.5,1522,1588.5,1512.5,139.47K,0.0236
30-01-2022,1528.5,1533,1583,1517,67.07K,0.0193
23-01-2022,1499.5,1563.5,1567,1486,95.52K,-0.0551
16-01-2022,1587,1623.5,1627.5,1574.5,64.49K,-0.0219
09-01-2022,1622.5,1627,1660.5,1601,276.20K,-0.0003
02-01-2022,1623,1651,1653,1576.5,217.13K,-0.0158
26-12-2021,1649,1654,1669,1635,44.94K,-0.0274
19-12-2021,1695.5,1608.5,1698.5,1593.5,88.74K,0.0415
12-12-2021,1628,1626.5,1656.5,1594.5,136.84K,-0.0058
05-12-2021,1637.5,1610,1671,1607,88.23K,0.0334
28-11-2021,1584.5,1523,1610,1490,80.14K,0.0602
21-11-2021,1494.5,1577,1592,1482,90.44K,-0.0073
14-11-2021,1505.5,1521,1526.5,1473,79.94K,-0.0033
07-11-2021,1510.5,1495.5,1514,1476.26,76.82K,0.0107
31-10-2021,1494.5,1497.5,1531,1481,76.99K,0.001
24-10-2021,1493,1509.5,1528.5,1483.5,82.17K,0.0071
17-10-2021,1482.5,1481,1509.5,1470,119.51K,-0.002
10-10-2021,1485.5,1511,1511,1421,97.74K,-0.007
03-10-2021,1496,1547,1551.5,1477,84.62K,-0.0342
26-09-2021,1549,1646,1650.5,1527.5,75.24K,-0.0509
19-09-2021,1632,1605,1664.5,1563.5,77.77K,0.0046
12-09-2021,1624.5,1621,1655,1612,55.38K,0.0081
05-09-2021,1611.5,1675.5,1676.5,1605.5,53.12K,-0.028
29-08-2021,1658,1660,1665,1632.5,60.82K,0.0324
22-08-2021,1606,1558,1628,1556.5,63.05K,0.0439
15-08-2021,1538.5,1575,1595.5,1526,134.30K,-0.036
08-08-2021,1596,1784,1796.5,1574,142.73K,-0.0998
01-08-2021,1773,1722.5,1824.5,1719.5,65.06K,0.0329
25-07-2021,1716.5,1712,1742.5,1688,75.18K,0.0018
18-07-2021,1713.5,1727,1742.5,1691.5,91.34K,-0.0164
11-07-2021,1742,1757.5,1770,1730,87.09K,-0.0083
04-07-2021,1756.5,1779,1805.5,1719.5,105.67K,-0.0087
27-06-2021,1772,1816,1816,1763,62.77K,-0.0232
20-06-2021,1814,1761,1817.5,1750.5,96.40K,0.0272
13-06-2021,1766,1809,1843,1759.5,135.86K,-0.0281
06-06-2021,1817,1849,1850.5,1807,82.24K,-0.0255
30-05-2021,1864.5,1828,1864.5,1807,57.57K,0.0313
23-05-2021,1808,1775,1809.5,1770,65.34K,0.0146
16-05-2021,1782,1754,1790,1741,67.48K,-0.0006
09-05-2021,1783,1870,1880,1718,106.89K,-0.038
02-05-2021,1853.5,1847,1860.5,1812.5,58.58K,0.0178
25-04-2021,1821,1875,1893,1816.5,72.00K,-0.0244
18-04-2021,1866.5,1865.5,1883.5,1835.5,68.43K,-0.0069
11-04-2021,1879.5,1850,1898,1844.5,84.20K,0.0094
04-04-2021,1862,1918.5,1932.5,1850,60.91K,0.0032
28-03-2021,1856,1799,1860,1792,57.02K,0.0248
21-03-2021,1811,1801,1827,1774,60.50K,0.0017
14-03-2021,1808,1815,1846,1802,82.05K,-0.0028
07-03-2021,1813,1795,1829,1764,105.02K,0.0134
28-02-2021,1789,1890,1910,1782,113.49K,-0.033
21-02-2021,1850,1857,1926,1823,223.66K,-0.0232
14-02-2021,1894,1924,1933,1833,74.43K,0.0016
07-02-2021,1891,1855,1899,1839,92.97K,0.0091
31-01-2021,1874,1855,1905,1837,82.83K,0.0185
24-01-2021,1840,2024,2024,1826,146.73K,-0.0622
