Date,Price,Open,High,Low,Volume,Chg%
13-06-2021,11.6533,12.1376,12.2637,11.0681,0,-0.083
06-06-2021,12.7077,12.3947,13.086,12.0938,0,0.0616
30-05-2021,11.9704,11.6221,12.1087,11.3819,0,0.0488
23-05-2021,11.4136,11.2962,11.596,10.4881,0,-0.0042
16-05-2021,11.4613,11.2702,11.6655,11.0834,0,0.0245
09-05-2021,11.1876,14.4052,14.5495,11.1659,0,-0.2326
02-05-2021,14.5794,13.6884,14.6341,13.4196,0,0.0876
25-04-2021,13.4047,12.8721,13.4943,12.7078,0,0.0644
18-04-2021,12.5933,11.5878,12.668,11.4833,0,0.1024
11-04-2021,11.4236,11.2543,11.6525,11.0453,0,-0.0618
04-04-2021,12.1765,11.7926,12.4253,11.6042,0,0.0314
28-03-2021,11.8058,11.5264,12.2171,11.2575,0,0.0131
21-03-2021,11.6529,11.6846,11.7267,11.4209,0,-0.0094
14-03-2021,11.7637,11.384,11.79,11.3207,0,0.0348
07-03-2021,11.3682,10.7633,11.5264,10.5281,0,0.0635
28-02-2021,10.6898,10.7339,10.7437,10.3812,0,-0.0037
21-02-2021,10.729,10.7045,10.9544,10.5918,0,0.0106
14-02-2021,10.6163,10.6114,10.8711,10.5086,0,0.0098
07-02-2021,10.5135,11.6587,11.9016,10.391,0,-0.0908
31-01-2021,11.5637,11.669,11.7061,11.2925,0,0.0041
24-01-2021,11.5163,10.4636,11.6532,10.4321,0,0.0929
17-01-2021,10.5373,11.2321,11.2479,10.511,0,-0.0583
10-01-2021,11.19,11.256,11.3953,10.3478,0,-0.0034
03-01-2021,11.2278,11.109,11.29,10.8488,0,0.0253
27-12-2020,10.9506,10.2549,10.9789,10.1361,0,0.0732
20-12-2020,10.204,9.825,10.2153,9.7741,0,0.0309
13-12-2020,9.8985,9.6157,9.9212,9.5139,0,0.0331
06-12-2020,9.5818,9.0971,9.6723,9.0752,0,0.0426
29-11-2020,9.19,9.5233,9.5287,9.0588,0,-0.0305
22-11-2020,9.4796,9.4905,9.5014,9.2555,0,0.0128
15-11-2020,9.3594,9.1954,9.4632,9.1517,0,0.0209
08-11-2020,9.1681,9.5945,9.6408,9.0971,0,-0.0427
01-11-2020,9.5772,9.2547,9.7774,9.2137,0,0.0251
25-10-2020,9.3426,9.7763,9.8994,9.2137,0,-0.0495
18-10-2020,9.8291,9.5067,9.8408,9.4247,0,0.0429
11-10-2020,9.4247,9.325,9.5888,9.0789,0,0.0177
04-10-2020,9.2606,9.2962,9.6575,9.0906,0,-0.0045
27-09-2020,9.3023,8.8859,9.4309,8.8307,0,0.0397
20-09-2020,8.9471,9.192,9.2349,8.8981,0,-0.035
13-09-2020,9.2717,9.0696,9.2839,8.9287,0,0.0271
06-09-2020,9.0267,9.8557,9.9242,8.8491,0,-0.0803
30-08-2020,9.8146,9.9859,9.9859,9.6775,0,-0.0035
23-08-2020,9.8488,9.3828,9.8557,9.3759,0,0.0551
16-08-2020,9.3348,9.3622,9.4856,9.2183,0,0.0074
09-08-2020,9.2663,7.4712,9.3417,7.4653,0,0.2412
02-08-2020,7.4653,7.6542,7.6904,7.4479,0,-0.0224
26-07-2020,7.636,7.9079,7.9139,7.6058,0,-0.0314
19-07-2020,7.8837,7.9623,7.9985,7.781,0,-0.0203
12-07-2020,8.0468,7.9683,8.065,7.8112,0,-0.0126
05-07-2020,8.1495,8.4941,8.6587,8.1254,0,-0.0273
28-06-2020,8.3782,7.8721,8.6221,7.8538,0,0.076
21-06-2020,7.7867,8.1587,8.1709,7.7075,0,-0.0534
14-06-2020,8.2258,8.1404,8.2685,8.0611,0,0.0082
07-06-2020,8.1587,7.8275,8.238,7.7581,0,0.0509
31-05-2020,7.7639,7.6075,7.7754,7.4844,0,0.0166
24-05-2020,7.6368,7.4961,7.7481,7.4668,0,0.0244
17-05-2020,7.4551,7.5195,7.6309,7.4082,0,-0.0039
10-05-2020,7.4844,7.5313,7.5957,7.373,0,0.0147
03-05-2020,7.3762,7.2376,7.4629,7.226,0,0.0024
26-04-2020,7.3589,7.3762,7.4455,7.1452,0,-0.0139
19-04-2020,7.4629,7.5668,7.6477,7.1452,0,-0.019
12-04-2020,7.6073,7.769,7.7806,7.5091,0,-0.0223
05-04-2020,7.7806,7.6483,7.8268,7.608,0,0.0069
29-03-2020,7.7275,8.0476,8.0593,7.6639,0,-0.0419
22-03-2020,8.0651,7.9835,8.2166,7.8903,0,0.0065
15-03-2020,8.0127,8.4147,8.4264,7.7388,0,-0.0601
08-03-2020,8.5255,9.7261,9.8376,8.4963,0,-0.1351
01-03-2020,9.8572,9.6934,10.1325,9.6803,0,0.021
23-02-2020,9.654,9.89,9.9293,9.5885,0,-0.0328
16-02-2020,9.9817,10.0735,10.1587,9.9621,0,-0.0033
09-02-2020,10.0145,10.9027,10.9451,9.9883,0,-0.0897
02-02-2020,11.0018,10.9059,11.023,10.8121,0,0.0042
26-01-2020,10.9562,10.9418,11.1143,10.8484,0,-0.0155
19-01-2020,11.1286,11.1143,11.3226,11.0424,0,-0.0051
12-01-2020,11.1861,11.0999,11.222,10.7838,0,0.0091
05-01-2020,11.0855,11.1742,11.1887,10.8269,0,-0.0086
29-12-2019,11.1815,11.2827,11.3406,11.1815,0,-0.009
22-12-2019,11.2827,11.2249,11.3117,11.1815,0,0.0058
15-12-2019,11.2176,11.1742,11.2972,11.1164,0,0.0177
