Date,Price,Open,High,Low,Volume,Chg%
01-01-2017,1172.81,1151.09,1185.28,1145.99,0,0.0182
08-01-2017,1197.66,1172.8,1207.38,1172.16,0,0.0212
15-01-2017,1209.96,1200.39,1219.19,1195.72,0,0.0103
22-01-2017,1191.59,1209.71,1220.21,1180.71,0,-0.0152
29-01-2017,1219.88,1192.93,1225.69,1188.1,0,0.0237
05-02-2017,1234.11,1220.2,1245.01,1219.15,0,0.0117
12-02-2017,1235.29,1232.09,1244.11,1216.65,0,0.001
19-02-2017,1256.94,1235.31,1260.56,1226.07,0,0.0175
26-02-2017,1234.3,1257.86,1264.18,1222.87,0,-0.018
05-03-2017,1204.55,1232.96,1237.04,1194.89,0,-0.0241
12-03-2017,1229.15,1205.47,1233.51,1197.18,0,0.0204
19-03-2017,1244.18,1229.63,1253.48,1226.69,0,0.0122
26-03-2017,1249.13,1248.03,1261.41,1239.83,0,0.004
02-04-2017,1254.05,1248.3,1270.81,1243.69,0,0.0039
09-04-2017,1285.69,1254.16,1288.94,1247.38,0,0.0252
16-04-2017,1284.5,1292.84,1295.66,1276.15,0,-0.0009
23-04-2017,1268.15,1270,1278.39,1260.19,0,-0.0127
30-04-2017,1227.73,1268.5,1271.45,1225.54,0,-0.0319
07-05-2017,1228.83,1225.36,1236.97,1214.18,0,0.0009
14-05-2017,1255.55,1228.4,1265.44,1226.93,0,0.0217
21-05-2017,1267.05,1256.05,1270.02,1247.66,0,0.0092
28-05-2017,1279.98,1267.31,1279.98,1258.97,0,0.0102
04-06-2017,1266.4,1279.42,1296.26,1264.51,0,-0.0106
11-06-2017,1253.63,1267.1,1279.66,1251.43,0,-0.0101
18-06-2017,1256.9,1254,1259.37,1241.02,0,0.0026
25-06-2017,1241.6,1257.78,1258.4,1236.78,0,-0.0122
02-07-2017,1212.9,1241.76,1242.94,1207.31,0,-0.0231
09-07-2017,1228.98,1213.35,1233.06,1204.73,0,0.0133
16-07-2017,1254.9,1228.89,1256.27,1228.14,0,0.0211
23-07-2017,1269.25,1255.38,1271.21,1243.67,0,0.0114
30-07-2017,1258.6,1270.05,1274.34,1254.27,0,-0.0084
06-08-2017,1289.21,1259.14,1292.09,1251.36,0,0.0243
13-08-2017,1284.5,1289.45,1301.18,1267.45,0,-0.0037
20-08-2017,1291.16,1283.6,1294.27,1279.02,0,0.0052
27-08-2017,1324.97,1292.41,1329.18,1291.79,0,0.0262
03-09-2017,1346.71,1334.4,1357.74,1327.06,0,0.0164
10-09-2017,1319.63,1337.18,1340.07,1315.91,0,-0.0201
17-09-2017,1297.38,1319.72,1319.96,1287.96,0,-0.0169
24-09-2017,1279.45,1297.87,1313.9,1277.6,0,-0.0138
01-10-2017,1276.03,1279.2,1282.4,1260.51,0,-0.0027
08-10-2017,1304.88,1276,1304.88,1275.25,0,0.0226
15-10-2017,1280.72,1303.54,1306.46,1276.55,0,-0.0185
22-10-2017,1273.35,1277.22,1283.91,1263.71,0,-0.0058
29-10-2017,1269.84,1273.6,1284.47,1265.49,0,-0.0028
05-11-2017,1276.14,1269.85,1288.65,1266.26,0,0.005
12-11-2017,1294.37,1274.95,1297.38,1270.72,0,0.0143
19-11-2017,1288.22,1292.74,1295.04,1274.99,0,-0.0047
26-11-2017,1280.26,1288.85,1299.44,1270.33,0,-0.0062
03-12-2017,1248.15,1273.34,1277.45,1243.95,0,-0.0251
10-12-2017,1255.26,1247.72,1262.08,1236.27,0,0.0057
17-12-2017,1275.01,1253.78,1276.33,1252.65,0,0.0157
24-12-2017,1302.55,1275.24,1307.97,1273.41,0,0.0216
31-12-2017,1320.21,1302.62,1326.07,1302.6,0,0.0136
07-01-2018,1338.41,1320.63,1339.57,1308.27,0,0.0138
14-01-2018,1331.8,1336.94,1344.72,1324.09,0,-0.0049
21-01-2018,1350.15,1334.95,1366.26,1328.51,0,0.0138
28-01-2018,1332.98,1350.3,1352.54,1327.39,0,-0.0127
04-02-2018,1316.69,1332.04,1346.24,1306.99,0,-0.0122
11-02-2018,1347.86,1315.14,1361.97,1314.23,0,0.0237
18-02-2018,1328.94,1347.67,1351.34,1320.84,0,-0.014
25-02-2018,1322.2,1327.92,1341.06,1302.76,0,-0.0051
04-03-2018,1323.7,1323.78,1340.68,1313.06,0,0.0011
11-03-2018,1314,1323.69,1330.27,1309.56,0,-0.0073
18-03-2018,1347.22,1313.94,1350.41,1307.13,0,0.0253
25-03-2018,1325,1347.9,1356.87,1321.33,0,-0.0165
01-04-2018,1333.19,1326.21,1348.27,1321.28,0,0.0062
08-04-2018,1345.46,1333.21,1365.37,1326.8,0,0.0092
15-04-2018,1335.13,1344.6,1355.9,1334.86,0,-0.0077
22-04-2018,1322.8,1335.19,1335.66,1315.24,0,-0.0092
29-04-2018,1315.05,1322.8,1325.17,1301.74,0,-0.0059
06-05-2018,1318.22,1315.05,1326.17,1304.34,0,0.0024
13-05-2018,1292.5,1318.55,1322.58,1285.64,0,-0.0195
20-05-2018,1301.61,1290.9,1307.95,1282,0,0.007
27-05-2018,1293.15,1298.93,1306.69,1289.34,0,-0.0065
03-06-2018,1298.75,1293.16,1303.3,1289.77,0,0.0043
10-06-2018,1279.84,1299.4,1309.64,1275.3,0,-0.0146
17-06-2018,1269.28,1279.15,1284.43,1261.23,0,-0.0083
24-06-2018,1253,1271.74,1272.9,1245.67,0,-0.0128
01-07-2018,1254.98,1253.49,1261.44,1237.71,0,0.0016
08-07-2018,1241.52,1255.13,1266.26,1236.78,0,-0.0107
15-07-2018,1231.77,1241.41,1245.9,1211.48,0,-0.0079
22-07-2018,1223.38,1231.55,1235.57,1217.3,0,-0.0068
29-07-2018,1213.43,1222.96,1228.52,1204.28,0,-0.0081
05-08-2018,1211.3,1213.65,1218.21,1205.66,0,-0.0018
12-08-2018,1184.77,1211.24,1214.07,1160.19,0,-0.0219
19-08-2018,1205.96,1183.74,1208.83,1182.61,0,0.0179
26-08-2018,1201.09,1206.94,1214.67,1196.2,0,-0.004
02-09-2018,1195.85,1200.29,1207.37,1189.53,0,-0.0044
09-09-2018,1193.71,1195.41,1212.9,1187.57,0,-0.0018
16-09-2018,1199.55,1193.18,1211.39,1191.76,0,0.0049
23-09-2018,1192.09,1198.31,1204.44,1180.68,0,-0.0062
30-09-2018,1202.85,1192.19,1208.72,1184.46,0,0.009
07-10-2018,1217.93,1203.15,1226.51,1183.24,0,0.0125
14-10-2018,1226.31,1217.44,1233.67,1217.4,0,0.0069
21-10-2018,1233.58,1228.06,1243.63,1219.95,0,0.0059
28-10-2018,1232.89,1234.15,1237.74,1211.82,0,-0.0006
04-11-2018,1209.59,1233.09,1236.33,1206.53,0,-0.0189
11-11-2018,1221.47,1210.05,1225.67,1196.19,0,0.0098
18-11-2018,1223.19,1222.34,1230.33,1217.82,0,0.0014
25-11-2018,1221.96,1224.04,1229.23,1210.99,0,-0.001
02-12-2018,1248.09,1223.19,1250.44,1221.22,0,0.0214
09-12-2018,1238.21,1250.76,1250.85,1232.7,0,-0.0079
16-12-2018,1256.01,1237.6,1266.7,1235.69,0,0.0144
23-12-2018,1280.75,1258.65,1282.34,1257.96,0,0.0197
30-12-2018,1284.92,1280.2,1298.68,1276.66,0,0.0033
06-01-2019,1288,1286.01,1297.47,1279.1,0,0.0024
13-01-2019,1281.49,1287.7,1296.21,1280.49,0,-0.0051
20-01-2019,1303.22,1281.64,1303.78,1276.58,0,0.017
27-01-2019,1318,1303.82,1326.65,1297.54,0,0.0113
03-02-2019,1314.06,1318.13,1319.11,1302.53,0,-0.003
10-02-2019,1321.41,1314.55,1322.76,1302.88,0,0.0056
17-02-2019,1327.8,1321.41,1347.11,1320.6,0,0.0048
24-02-2019,1293.56,1328.89,1332.8,1290.24,0,-0.0258
03-03-2019,1298.4,1293.61,1300.85,1281.1,0,0.0037
10-03-2019,1301.38,1298.85,1311.56,1290.34,0,0.0023
17-03-2019,1313.38,1302.34,1320.62,1298.19,0,0.0092
24-03-2019,1292.15,1313.35,1324.57,1286.77,0,-0.0162
31-03-2019,1291.7,1291.48,1297.23,1280.91,0,-0.0003
07-04-2019,1290.4,1291.8,1310.96,1289.66,0,-0.001
14-04-2019,1275.4,1290.6,1292.08,1271.07,0,-0.0116
21-04-2019,1286.25,1275.83,1289.01,1266.25,0,0.0085
28-04-2019,1279.19,1286.55,1287.38,1266.18,0,-0.0055
05-05-2019,1286,1281.19,1291.73,1276.85,0,0.0053
12-05-2019,1277.55,1286.71,1303.47,1274.91,0,-0.0066
19-05-2019,1284.9,1277.8,1287.62,1269.34,0,0.0057
26-05-2019,1305.65,1285.8,1307.11,1274.82,0,0.0162
