Date,Open,High,Low,Close,Adj Close,Volume
05-11-2017,0.217911,0.221791,0.20526,0.21043,0.21043,423452992
12-11-2017,0.210214,0.27179,0.195389,0.228627,0.228627,2175345984
19-11-2017,0.22814,0.2557,0.226037,0.252393,0.252393,1458164000
26-11-2017,0.252914,0.301084,0.229586,0.255492,0.255492,2164101976
03-12-2017,0.25553,0.278673,0.22134,0.244708,0.244708,1829143040
10-12-2017,0.245548,0.892267,0.229304,0.758642,0.758642,15555755056
17-12-2017,0.754125,1.37918,0.689323,1.17434,1.17434,14373410176
24-12-2017,1.17558,2.85453,0.911226,2.15902,2.15902,23731509696
31-12-2017,2.0951,3.84194,1.8703,3.09397,3.09397,33512920064
07-01-2018,3.09296,3.48725,1.61527,2.02135,2.02135,25995849856
14-01-2018,2.01852,2.01852,0.897797,1.57862,1.57862,31910150272
21-01-2018,1.57623,1.57623,1.135,1.21911,1.21911,14026519232
28-01-2018,1.22389,1.43812,0.635185,0.924043,0.924043,11728849920
04-02-2018,0.913418,1.30059,0.58836,1.07074,1.07074,13291315008
11-02-2018,1.06733,1.21759,0.929767,1.20498,1.20498,9633899200
18-02-2018,1.20478,1.20734,0.898286,0.954402,0.954402,5624184064
25-02-2018,0.951977,0.97258,0.89063,0.907804,0.907804,2488272960
04-03-2018,0.906008,1.08021,0.751485,0.796627,0.796627,6080193024
11-03-2018,0.795765,0.840407,0.626709,0.637856,0.637856,3297740032
18-03-2018,0.634466,0.74908,0.548815,0.641265,0.641265,4589082016
25-03-2018,0.638632,0.657213,0.484362,0.512353,0.512353,2455513008
01-04-2018,0.513854,0.563117,0.465615,0.487867,0.487867,2339694960
08-04-2018,0.488227,0.693112,0.482573,0.632184,0.632184,4123703072
15-04-2018,0.634883,0.938354,0.634143,0.873103,0.873103,6994402944
22-04-2018,0.86682,0.96561,0.771787,0.863804,0.863804,7299026112
29-04-2018,0.864399,0.927695,0.797826,0.905103,0.905103,5048551936
06-05-2018,0.904235,0.918675,0.639771,0.696735,0.696735,4306625984
13-05-2018,0.698085,0.758977,0.65339,0.676713,0.676713,2930554016
20-05-2018,0.677258,0.704614,0.586997,0.612708,0.612708,2186879984
27-05-2018,0.61204,0.648982,0.551635,0.643451,0.643451,2077837024
03-06-2018,0.643412,0.703623,0.640891,0.659755,0.659755,2188674032
10-06-2018,0.659514,0.659514,0.517036,0.534784,0.534784,2322702992
17-06-2018,0.535536,0.558059,0.477286,0.491284,0.491284,1693543008
24-06-2018,0.491773,0.493725,0.427302,0.466245,0.466245,1872165968
01-07-2018,0.465944,0.515696,0.450816,0.492477,0.492477,2067180000
08-07-2018,0.492319,0.494895,0.428033,0.439271,0.439271,1343677008
15-07-2018,0.439095,0.51956,0.436483,0.45541,0.45541,1907559040
22-07-2018,0.455002,0.466983,0.438565,0.453667,0.453667,1489930000
29-07-2018,0.456606,0.459134,0.426481,0.428507,0.428507,1661093000
05-08-2018,0.42858,0.435794,0.291582,0.301262,0.301262,1893690000
12-08-2018,0.300604,0.373619,0.253983,0.3271,0.3271,2192901000
19-08-2018,0.327363,0.353079,0.316613,0.32823,0.32823,1803536000
26-08-2018,0.328162,0.356798,0.320571,0.347721,0.347721,1741791000
02-09-2018,0.347323,0.349541,0.273789,0.279333,0.279333,1740893000
09-09-2018,0.278661,0.291261,0.255756,0.282008,0.282008,1658917000
16-09-2018,0.281723,0.76938,0.268184,0.570798,0.570798,9337603000
23-09-2018,0.57522,0.595025,0.441519,0.571228,0.571228,8116348000
30-09-2018,0.568045,0.618702,0.470532,0.488082,0.488082,6158872000
07-10-2018,0.490268,0.496593,0.378914,0.418878,0.418878,3903782000
14-10-2018,0.418573,0.478521,0.396701,0.459151,0.459151,3519643000
21-10-2018,0.458863,0.471596,0.439644,0.456348,0.456348,1972422000
28-10-2018,0.457169,0.463931,0.437057,0.455667,0.455667,2257631000
04-11-2018,0.455225,0.560547,0.449935,0.506698,0.506698,4474662000
11-11-2018,0.506895,0.525536,0.430398,0.491654,0.491654,4567018000
18-11-2018,0.493419,0.522133,0.367354,0.375336,0.375336,6458639000
25-11-2018,0.374511,0.401583,0.324953,0.372906,0.372906,5242785295
02-12-2018,0.372162,0.378392,0.291351,0.307269,0.307269,3222656169
09-12-2018,0.306451,0.320144,0.282523,0.285883,0.285883,2483325789
16-12-2018,0.285911,0.39333,0.28589,0.362308,0.362308,4968720983
23-12-2018,0.363045,0.448477,0.336282,0.367252,0.367252,5927621182
30-12-2018,0.365248,0.378021,0.350402,0.355275,0.355275,3322910758
06-01-2019,0.35475,0.381949,0.327159,0.3288,0.3288,3663966238
13-01-2019,0.328662,0.337942,0.317098,0.331001,0.331001,3095711747
20-01-2019,0.33122,0.332147,0.313455,0.314235,0.314235,2632394050
27-01-2019,0.314854,0.333835,0.285888,0.310912,0.310912,3930031639
03-02-2019,0.310429,0.315308,0.290119,0.311284,0.311284,3250357004
10-02-2019,0.311253,0.31134,0.299579,0.301703,0.301703,3161846938
17-02-2019,0.301571,0.343676,0.299235,0.33262,0.33262,5071165021
24-02-2019,0.332942,0.341581,0.299331,0.315126,0.315126,5867631055
03-03-2019,0.314857,0.320833,0.302677,0.313826,0.313826,4894496009
10-03-2019,0.314266,0.322413,0.307536,0.320468,0.320468,4802664560
17-03-2019,0.320387,0.32085,0.309338,0.312359,0.312359,4813626090
24-03-2019,0.312396,0.326784,0.298987,0.310632,0.310632,5404586942
31-03-2019,0.31073,0.374064,0.30815,0.354405,0.354405,11832314010
